"0"	117
"1"	111
"10"	97
"11"	108
"12"	92
"13"	87
"14"	100
"15"	104
"16"	109
"17"	95
"18"	103
"19"	98
"2"	118
"20"	94
"21"	94
"22"	94
"23"	84
"24"	103
"25"	98
"26"	114
"27"	104
"28"	97
"29"	110
"3"	91
"30"	106
"31"	100
"32"	103
"33"	104
"34"	105
"35"	110
"36"	83
"37"	103
"38"	99
"39"	119
"4"	97
"40"	114
"41"	106
"42"	100
"43"	104
"44"	92
"45"	74
"46"	115
"47"	86
"48"	85
"49"	96
"5"	93
"50"	99
"51"	102
"52"	98
"53"	94
"78"	88
"79"	81
"8"	111
"80"	86
"81"	102
"82"	98
"83"	97
"84"	96
"85"	105
"86"	102
"87"	96
"88"	101
"89"	101
"9"	103
"90"	103
"91"	91
"92"	98
"93"	107
"94"	98
"95"	97
"96"	90
"97"	112
"98"	88
"99"	92
"54"	123
"55"	105
"56"	100
"57"	91
"58"	104
"59"	110
"6"	105
"60"	95
"61"	102
"62"	101
"63"	113
"64"	107
"65"	106
"66"	93
"67"	95
"68"	115
"69"	100
"7"	94
"70"	108
"71"	109
"72"	100
"73"	118
"74"	94
"75"	90
"76"	92
"77"	78
